Record_ID,Date,Country,State,Confirmed,Recovered,Deaths,Active,Tests_Conducted,Vaccination_Rate_%
1,02-01-2021,USA,California,4107,3518,70,519,10528,99
2,03-01-2021,Brazil,Sao Paulo,112163,102717,2474,6972,438420,59
3,04-01-2021,Japan,Tokyo,220599,191161,5182,24256,469235,35
4,05-01-2021,UK,England,445177,347729,8113,89335,452508,73
5,06-01-2021,UK,England,241776,192943,3413,45420,312154,70
6,07-01-2021,USA,California,195695,155413,730,39552,512672,33
7,08-01-2021,Japan,Tokyo,91592,72246,1945,17401,426241,95
8,09-01-2021,Japan,Tokyo,472921,337179,1337,134405,851378,72
9,10-01-2021,India,Maharashtra,209177,157296,1052,50829,782304,31
10,11-01-2021,UK,England,99810,84952,1372,13486,342830,73
11,12-01-2021,UK,England,251407,217280,4660,29467,487140,93
12,13-01-2021,Brazil,Sao Paulo,408759,364816,2421,41522,1753086,39
13,14-01-2021,USA,California,38983,36108,440,2435,74393,37
14,15-01-2021,Japan,Tokyo,467233,425644,173,41416,520218,46
15,16-01-2021,Japan,Tokyo,144606,119243,3450,21913,314938,32
16,17-01-2021,Japan,Tokyo,275284,252842,5956,16486,483858,56
17,18-01-2021,India,Maharashtra,230331,201400,3355,25576,988935,91
18,19-01-2021,India,Maharashtra,307261,260249,5578,41434,1409908,98
19,20-01-2021,Japan,Tokyo,323184,295229,7262,20693,1369279,92
20,21-01-2021,Japan,Tokyo,61297,51988,1060,8249,292754,77
21,22-01-2021,India,Maharashtra,374982,347386,4540,23056,1214630,86
22,23-01-2021,Brazil,Sao Paulo,106251,98344,226,7681,219258,96
23,24-01-2021,Brazil,Sao Paulo,264272,201686,1820,60766,956121,40
24,25-01-2021,Brazil,Sao Paulo,33192,30977,124,2091,46835,17
25,26-01-2021,Japan,Tokyo,241698,192124,4906,44668,605091,83
26,27-01-2021,Brazil,Sao Paulo,25869,18256,538,7075,105598,25
27,28-01-2021,USA,California,425289,361608,2169,61512,704390,91
28,29-01-2021,USA,California,282720,241817,8284,32619,1266028,59
29,30-01-2021,UK,England,241945,186776,3964,51205,961618,27
30,31-01-2021,India,Maharashtra,316080,239710,4718,71652,672489,99
31,01-02-2021,Japan,Tokyo,478750,470605,10466,0,747098,36
32,02-02-2021,UK,England,146482,109357,221,36904,306352,82
33,03-02-2021,Brazil,Sao Paulo,225564,207901,5188,12475,1115749,42
34,04-02-2021,UK,England,359784,327256,10549,21979,1499879,13
35,05-02-2021,Japan,Tokyo,196316,137956,2451,55909,660760,38
36,06-02-2021,Japan,Tokyo,459077,432452,929,25696,1918448,52
37,07-02-2021,Japan,Tokyo,134940,101367,1080,32493,579938,84
38,08-02-2021,India,Maharashtra,50333,42531,1264,6538,50794,82
39,09-02-2021,Brazil,Sao Paulo,64927,49245,1038,14644,287503,65
40,10-02-2021,USA,California,409281,299253,8384,101644,984910,94
41,11-02-2021,India,Maharashtra,341063,307163,1504,32396,450423,15
42,12-02-2021,USA,California,61241,50546,678,10017,298234,60
43,13-02-2021,Japan,Tokyo,317113,253821,7001,56291,337613,81
44,14-02-2021,Japan,Tokyo,417644,389933,12141,15570,723308,50
45,15-02-2021,UK,England,285089,270499,5406,9184,312439,45
46,16-02-2021,Brazil,Sao Paulo,146971,128262,4074,14635,371628,84
47,17-02-2021,Brazil,Sao Paulo,124884,115470,2223,7191,297705,82
48,18-02-2021,Brazil,Sao Paulo,43775,35061,245,8469,174865,71
49,19-02-2021,Brazil,Sao Paulo,381399,295888,233,85278,900239,42
50,20-02-2021,India,Maharashtra,353639,314248,9734,29657,1029273,85
51,21-02-2021,USA,California,5402,4174,140,1088,15901,22
52,22-02-2021,Brazil,Sao Paulo,92186,80963,1977,9246,435708,65
53,23-02-2021,USA,California,189899,148338,4237,37324,697706,97
54,24-02-2021,USA,California,481337,448738,1318,31281,2185308,64
55,25-02-2021,USA,California,206476,170649,5313,30514,220491,90
56,26-02-2021,UK,England,486407,486353,13969,0,1102099,21
57,27-02-2021,India,Maharashtra,210024,186852,4964,18208,884755,37
58,28-02-2021,USA,California,259674,214793,2197,42684,1178969,32
59,01-03-2021,Brazil,Sao Paulo,91810,66492,818,24500,386973,76
60,02-03-2021,Brazil,Sao Paulo,190366,149417,4481,36468,581480,52
61,03-03-2021,Brazil,Sao Paulo,158812,121030,3980,33802,583422,65
62,04-03-2021,UK,England,61692,55108,1216,5368,94110,54
63,05-03-2021,Japan,Tokyo,468364,369524,8015,90825,1014111,13
64,06-03-2021,USA,California,436652,323276,1295,112081,927942,71
65,07-03-2021,India,Maharashtra,182694,141380,3685,37629,182886,86
66,08-03-2021,Japan,Tokyo,1810,1761,13,36,5440,77
67,09-03-2021,India,Maharashtra,280686,261635,7888,11163,358472,53
68,10-03-2021,UK,England,75477,56270,299,18908,102049,92
69,11-03-2021,UK,England,36369,30955,624,4790,81770,27
70,12-03-2021,India,Maharashtra,34718,28797,917,5004,153573,20
71,13-03-2021,USA,California,19842,15657,253,3932,98216,55
72,14-03-2021,Japan,Tokyo,477220,343476,5542,128202,602840,77
73,15-03-2021,UK,England,153218,131457,3757,18004,604463,41
74,16-03-2021,Japan,Tokyo,1203,1132,27,44,5597,17
75,17-03-2021,Brazil,Sao Paulo,112716,111122,1384,210,271706,86
76,18-03-2021,USA,California,250563,235501,6937,8125,553003,60
77,19-03-2021,Brazil,Sao Paulo,73295,60438,528,12329,184327,21
78,20-03-2021,Japan,Tokyo,87716,86815,462,439,272591,41
79,21-03-2021,UK,England,481867,417514,8362,55991,1451500,94
80,22-03-2021,USA,California,233387,177340,4023,52024,1121019,36
81,23-03-2021,USA,California,421290,297766,11875,111649,2088784,21
82,24-03-2021,UK,England,317220,233454,72,83694,1121098,81
83,25-03-2021,UK,England,453619,389138,3782,60699,2226251,88
84,26-03-2021,Brazil,Sao Paulo,73878,62741,1514,9623,254437,38
85,27-03-2021,India,Maharashtra,96260,75522,1317,19421,300488,25
86,28-03-2021,UK,England,421039,344952,7141,68946,460680,86
87,29-03-2021,USA,California,113331,87394,1702,24235,216580,94
88,30-03-2021,Brazil,Sao Paulo,5982,5599,109,274,25123,10
89,31-03-2021,Brazil,Sao Paulo,336603,314359,9216,13028,1350853,58
90,01-04-2021,UK,England,217217,163948,2124,51145,540804,40
91,02-04-2021,Brazil,Sao Paulo,430282,327193,12094,90995,1354268,68
92,03-04-2021,Japan,Tokyo,265116,196564,2936,65616,1185064,91
93,04-04-2021,Japan,Tokyo,456397,454905,4928,0,1066255,64
94,05-04-2021,Brazil,Sao Paulo,26885,25899,748,238,121939,26
95,06-04-2021,USA,California,478671,470979,4969,2723,507956,76
96,07-04-2021,India,Maharashtra,391068,348821,8110,34137,1573623,75
97,08-04-2021,USA,California,198834,196992,2523,0,639193,58
98,09-04-2021,UK,England,92272,89953,1717,602,434260,50
99,10-04-2021,Brazil,Sao Paulo,378612,313975,9578,55059,1194894,46
100,11-04-2021,India,Maharashtra,476719,346540,4067,126112,779315,54
101,12-04-2021,USA,California,378076,354700,6022,17354,1626146,51
102,13-04-2021,UK,England,340732,258768,1765,80199,680900,26
103,14-04-2021,UK,England,213166,203354,2202,7610,546174,96
104,15-04-2021,UK,England,163679,135610,3454,24615,598099,13
105,16-04-2021,Brazil,Sao Paulo,348589,317807,9267,21515,554977,52
106,17-04-2021,UK,England,321750,272392,8991,40367,892320,95
107,18-04-2021,UK,England,1124,847,23,254,5589,48
108,19-04-2021,UK,England,313438,238655,551,74232,721894,54
109,20-04-2021,India,Maharashtra,261866,230758,3501,27607,1281302,93
110,21-04-2021,Japan,Tokyo,402124,292027,8366,101731,499878,37
111,22-04-2021,Japan,Tokyo,205443,167074,1564,36805,488773,85
112,23-04-2021,Brazil,Sao Paulo,227882,217924,3091,6867,909413,84
113,24-04-2021,India,Maharashtra,26699,21653,643,4403,72191,70
114,25-04-2021,Brazil,Sao Paulo,220318,191304,6339,22675,373498,37
115,26-04-2021,UK,England,200750,167705,1592,31453,353189,76
116,27-04-2021,India,Maharashtra,302753,263982,2866,35905,462259,95
117,28-04-2021,Japan,Tokyo,374447,307236,6284,60927,1665824,62
118,29-04-2021,USA,California,300859,279228,7103,14528,762979,55
119,30-04-2021,Japan,Tokyo,368832,344375,7488,16969,1692759,10
120,01-05-2021,India,Maharashtra,465552,397844,5792,61916,1200559,36
121,02-05-2021,Brazil,Sao Paulo,278701,209995,2965,65741,1103606,41
122,03-05-2021,USA,California,448480,362191,11893,74396,1010710,83
123,04-05-2021,India,Maharashtra,401182,376513,3175,21494,1755656,39
124,05-05-2021,India,Maharashtra,290756,274035,5846,10875,1390477,82
125,06-05-2021,Brazil,Sao Paulo,69149,54402,44,14703,243116,83
126,07-05-2021,USA,California,296982,234690,3109,59183,696911,43
127,08-05-2021,Brazil,Sao Paulo,376156,301821,3312,71023,1874303,11
128,09-05-2021,UK,England,163932,130684,1554,31694,286961,50
129,10-05-2021,USA,California,68330,50032,235,18063,77795,99
130,11-05-2021,Japan,Tokyo,403407,383623,880,18904,1182421,55
131,12-05-2021,India,Maharashtra,14768,11633,39,3096,29301,84
132,13-05-2021,India,Maharashtra,286298,276114,988,9196,830769,90
133,14-05-2021,India,Maharashtra,241621,194511,6768,40342,593257,68
134,15-05-2021,India,Maharashtra,328474,301600,5404,21470,1267146,16
135,16-05-2021,UK,England,163630,119482,3259,40889,728278,94
136,17-05-2021,USA,California,337151,310930,2070,24151,852263,52
137,18-05-2021,USA,California,284092,273942,6047,4103,621135,11
138,19-05-2021,Japan,Tokyo,71284,68672,1682,930,177253,53
139,20-05-2021,UK,England,117630,106662,3363,7605,302619,19
140,21-05-2021,Brazil,Sao Paulo,282624,256429,4704,21491,1124356,54
141,22-05-2021,UK,England,433706,312029,586,121091,2154713,24
142,23-05-2021,Japan,Tokyo,48119,34635,1065,12419,74821,32
143,24-05-2021,Japan,Tokyo,468257,351471,34,116752,1237234,22
144,25-05-2021,Japan,Tokyo,272673,244562,552,27559,1085798,68
145,26-05-2021,USA,California,117978,114166,3344,468,230792,99
146,27-05-2021,UK,England,311036,272391,3651,34994,1309622,15
147,28-05-2021,USA,California,29515,26924,474,2117,77983,92
148,29-05-2021,Japan,Tokyo,410653,352139,4493,54021,2046638,66
149,30-05-2021,USA,California,108532,98449,2452,7631,537608,71
150,31-05-2021,USA,California,85397,75057,2014,8326,336959,11
151,01-06-2021,USA,California,334387,324060,3783,6544,1637771,58
152,02-06-2021,USA,California,277822,222401,6605,48816,1061713,80
153,03-06-2021,USA,California,18673,15784,261,2628,55928,19
154,04-06-2021,UK,England,445365,385246,4308,55811,2171133,53
155,05-06-2021,India,Maharashtra,457146,433238,10466,13442,1207244,100
156,06-06-2021,UK,England,396213,395908,8482,0,1625934,74
157,07-06-2021,USA,California,63247,46305,1845,15097,104837,54
158,08-06-2021,India,Maharashtra,89224,77871,683,10670,328416,79
159,09-06-2021,USA,California,16918,16184,482,252,26964,83
160,10-06-2021,Japan,Tokyo,180132,132321,2155,45656,752436,36
161,11-06-2021,India,Maharashtra,284409,283766,5878,0,434691,84
162,12-06-2021,UK,England,262675,257834,1259,3582,619009,87
163,13-06-2021,UK,England,239977,222045,6985,10947,580272,15
164,14-06-2021,UK,England,466184,456197,7557,2430,762553,31
165,15-06-2021,Japan,Tokyo,341669,258789,8823,74057,1237093,71
166,16-06-2021,Japan,Tokyo,300379,242656,6300,51423,394561,97
167,17-06-2021,Japan,Tokyo,229091,176382,5453,47256,798863,20
168,18-06-2021,UK,England,431303,375256,9234,46813,632104,60
169,19-06-2021,Japan,Tokyo,165593,124215,3938,37440,664928,59
170,20-06-2021,India,Maharashtra,136054,95509,1003,39542,640918,90
171,21-06-2021,USA,California,270463,269783,6533,0,1260066,43
172,22-06-2021,UK,England,315569,222880,6836,85853,590251,56
173,23-06-2021,UK,England,453888,326022,3491,124375,649628,30
174,24-06-2021,Japan,Tokyo,231392,208840,4804,17748,947003,40
175,25-06-2021,UK,England,411001,403836,7738,0,542290,46
176,26-06-2021,USA,California,430049,363583,2898,63568,2048252,71
177,27-06-2021,Brazil,Sao Paulo,73952,56904,238,16810,274474,59
178,28-06-2021,USA,California,310469,259203,7718,43548,1307348,74
179,29-06-2021,Brazil,Sao Paulo,434923,390357,2703,41863,758253,100
180,30-06-2021,UK,England,299465,298262,7164,0,358005,25
181,01-07-2021,UK,England,230150,213936,2193,14021,422824,54
182,02-07-2021,UK,England,131114,92162,1310,37642,208331,60
183,03-07-2021,Brazil,Sao Paulo,240493,212419,1646,26428,911193,89
184,04-07-2021,USA,California,92526,76745,755,15026,305947,46
185,05-07-2021,Japan,Tokyo,150718,128807,808,21103,526930,43
186,06-07-2021,India,Maharashtra,408823,302473,6834,99516,1925493,62
187,07-07-2021,USA,California,309821,278854,8164,22803,1119783,58
188,08-07-2021,India,Maharashtra,434282,355223,5013,74046,1833770,73
189,09-07-2021,USA,California,368269,316507,8238,43524,819690,94
190,10-07-2021,India,Maharashtra,456445,333124,2348,120973,1459193,53
191,11-07-2021,Brazil,Sao Paulo,212494,176026,270,36198,950415,57
192,12-07-2021,Brazil,Sao Paulo,104174,91490,1167,11517,396605,59
193,13-07-2021,UK,England,472203,411439,11614,49150,479117,11
194,14-07-2021,India,Maharashtra,159306,155955,4423,0,754337,27
195,15-07-2021,USA,California,424896,364010,6841,54045,816670,49
196,16-07-2021,Japan,Tokyo,115516,90567,1413,23536,118084,23
197,17-07-2021,Brazil,Sao Paulo,294730,227226,1002,66502,1186057,76
198,18-07-2021,Japan,Tokyo,53510,44179,58,9273,76248,47
199,19-07-2021,USA,California,157701,123045,4597,30059,468950,71
200,20-07-2021,India,Maharashtra,141681,123688,805,17188,539202,25
